merchant_id,name,venue,area_type,category,location_text,historical_price_cny,recommended_items,review_summary,caution,source_id,source_date,collected_at,current_status,confidence,image_ids
N002,台湾脆皮玉米,科大路后街,周边商家,小吃,"从螺鼎记沿街向北",6,"甘梅味脆皮玉米；另有椒盐、海苔、咖喱、芝士、奥尔良","外酥内软糯；甘梅味被推荐，热天吃多易腻","价格为 2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,高,
N003,祖师爷土家掉渣饼,科大路后街,周边商家,烤饼,"后街，具体门牌未注明",7,"掉渣饼加蛋生菜；全家福套餐 17 元","边缘酥脆、中间有韧性；豪华套餐分量足","价格为 2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,高,
N004,杜四喜烤冷面,科大路后街,周边商家,烤冷面,"后街，具体门牌未注明",10,"烤冷面、蛋包饭","老店；手工面皮厚实有嚼劲，偏油，建议多刷酱；蛋包饭酸甜且量大","价格为 2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,高,
N005,河南肉夹馍（后街）,科大路后街,周边商家,肉夹馍,"台北101旁，后街沿线",6,"肉夹馍加卤蛋","人气仅次于螺蛳粉；馍现烤，卤蛋拍碎加入，肉块以瘦肉为主，香而不腻","价格为 2018 年信息；与林苑食堂档口需区分",SRC002,2018-06-08,2026-07-18,待实地核验,高,
N006,台北101,科大路后街,周边商家,奶茶,"后街河南肉夹馍隔壁",7,"波霸奶绿、珍珠奶茶","波霸奶绿被推荐；珍珠多且有嚼劲，价格实在","价格为 2018 年均价；品牌/门店现状待核验",SRC002,2018-06-08,2026-07-18,待实地核验,高,
N007,北京烤鸭,科大路西门以北,周边商家,烤鸭,"过科大西门后继续沿科大路直行",69,"果木烤鸭、半只烤鸭","现场片皮，配葱丝、黄瓜、甜辣酱和荷叶饼；文章建议买半只","69 元为 2018 年整只价格；店名较通用",SRC002,2018-06-08,2026-07-18,待实地核验,中,
N008,统桶发卤粉王,科大路西门以北,周边商家,米粉,"过科大西门后继续沿科大路直行",,"卤粉","汤料入味、粉顺滑，酸萝卜和酸豆角评价好，人气较旺","无门牌和价格；2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,中,
N009,泡菜点吧,科大路西门以北,周边商家,热卤,"过科大西门后继续沿科大路直行",,"热卤","经常排队，口味很辣，适合重口味","无门牌和价格；2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,中,
N010,香酥鸡蛋灌饼,青园路,周边商家,鸡蛋灌饼,"福邸雅苑大门正对面，美宜佳左边",,"鸡蛋灌饼","饼皮酥脆、鸡蛋鲜香，被称为学生必吃","文章称开门时间随意；2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,高,
N011,邓哥麻辣烫,青园路,周边商家,麻辣烫,"青园路，旁边为老益阳麻辣烫",,"香肠、牛板筋、鸡爪","共享大圆桌自煮式；鸡爪卤得入味，评价很高","2018 年称 16:30 开门，现时段待核验",SRC002,2018-06-08,2026-07-18,待实地核验,高,
N012,和财记油炸社,青园路,周边商家,油炸,"青园路，具体门牌未注明",30-40,"排骨、五花肉、牛肉、牛蛙、基围虾","排骨肉质饱满，五花肉香脆不腻；内有 80 后课堂主题小屋","人均为 2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,高,
N013,一芳,青园路,周边商家,水果茶,"青园路沿线",,"黑糖粉圆鲜奶加爱玉，少糖","台湾水果茶；推荐组合被称为风味突出","品牌门店现状待核验；2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,中,
N014,杨国福麻辣烫（青园路）,青园路,周边商家,麻辣烫,"青园路沿线",,"麻辣烫","汤鲜、食材新鲜，来源评价称会把汤喝完","可能与校内点位不同；2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,中,
N015,津市牛肉米粉,青园路,周边商家,米粉,"青园路沿线",,"麻辣牛肉粉","牛肉酥软、粉量足、红汤有食欲","无门牌和价格；2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,中,
N016,小肥花甲粉,青园路,周边商家,花甲粉,"青园路沿线",,"花甲粉","饭点人多，香味明显","无门牌和价格；2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,中,
N017,新西兰·岩烧乳酪,青园路,周边商家,甜品,"青园路沿线",,"乳酪蛋挞","甜而不腻，蛋挞软香，被推荐作早餐后甜点","无门牌和价格；2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,中,
N018,津市刘聋子粉馆,科大东门,周边商家,米粉,"东门近韶山南路",,"米粉","来源列为团队联合推荐店","仅有榜单式推荐；2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,中,
N019,刘大姐酸萝卜,科大东门,周边商家,小吃,"东门近韶山南路",,"酸萝卜","来源列为团队联合推荐店","仅有榜单式推荐；2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,中,
N020,鸭子粉,科大东门,周边商家,米粉,"东门近韶山南路",,"鸭子粉","来源列为团队联合推荐店","店名可能为品类而非正式招牌；2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,低,
N021,一米香盖码饭,科大东门,周边商家,盖码饭,"东门近韶山南路",,"盖码饭","来源列为团队联合推荐店","仅有榜单式推荐；2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,中,
N022,辉胖子,科大东门,周边商家,未明,"东门近韶山南路",,,"来源列为团队联合推荐店","品类、门牌与价格均待核验；2018 年信息",SRC002,2018-06-08,2026-07-18,待实地核验,低,
