record_id,institution,campus,name,venue,area_type,category,location_text,historical_price_cny,recommended_items,review_summary,caution,source_id,source_date,collected_at,current_status,confidence,image_ids
CSU-S005,"中南大学","南校区周边","柒酒现拌烤肉","麓山南路生活圈","校园周边","烤肉","岳麓区麓山南路651号","24","招牌五花肉、现拌牛肉、金针菇","2019年攻略称带皮五花肉需控制火候，现拌牛肉新鲜，金针菇多汁","单品价格和营业时间为2019年信息",MULTI_SRC203,"2019-09-03","2026-07-18","待实地核验","中",""
CSU-S006,"中南大学","南校区周边","火那师傅·牛肉火锅老母鸡","麓山南路生活圈","校园周边","火锅湘菜","岳麓区麓山南路582号","39","馋嘴蛙、酱汁猪蹄火锅、片片鱼","2019年攻略称蛙微辣入味，猪蹄汤底偏咸，鱼汤较浓郁","记录价格取主要锅品起点，现价待核验",MULTI_SRC203,"2019-09-03","2026-07-18","待实地核验","中",""
CSU-S007,"中南大学","南校区周边","北京烤鸭仙乔连锁","麓山南路生活圈","校园周边","烤鸭","岳麓区麓山南路739号","43","北京烤鸭、炸鸭架","2019年攻略称鸭皮薄肉嫩、不肥腻，鸭架酥脆","43元为2019年半只价格",MULTI_SRC203,"2019-09-03","2026-07-18","待实地核验","中",""
CSU-S008,"中南大学","南校区周边","龙液酸汤乌鱼府","阳光一百片区","校园周边","鱼火锅","岳麓区丰顺路阳光一百时光聚","38","乌鱼片、乌鱼水饺","2019年攻略称鱼片薄而入味，乌鱼水饺皮薄馅多、适合酸汤锅","价格为2019年信息",MULTI_SRC203,"2019-09-03","2026-07-18","待实地核验","中",""
HNU-C001,"湖南大学","天马园区","天马学生公寓一食堂","天马学生公寓","校内食堂","综合食堂","天马学生公寓","","糖醋鱼","2023年校方文章称糖醋鱼外脆里嫩、酸甜适口","具体窗口和现价待核验",MULTI_SRC301,"2023-04-28","2026-07-18","待实地核验","高","MULTI_IMG017|MULTI_IMG018"
HNU-C002,"湖南大学","天马园区","天马学生公寓二食堂","天马学生公寓","校内食堂","智慧自助食堂","天马学生公寓","","菠萝排骨、称重自助餐","2020年报道称每餐近60个菜品并根据师生评价调整餐单；2023年校方文章介绍菠萝排骨","菜品数量与运营方式需现场复核",MULTI_SRC301|MULTI_SRC302,"2023-04-28|2020-10-26","2026-07-18","待实地核验","高",""
HNU-C003,"湖南大学","德智园区","德智园区食堂","德智园区","校内食堂","综合食堂","德智园区","","锅包肉","2023年校方文章称锅包肉外酥里嫩、酸甜适口","具体窗口和现价待核验",MULTI_SRC301,"2023-04-28","2026-07-18","待实地核验","高","MULTI_IMG019"
HNU-C004,"湖南大学","财院校区","财院校区食堂","财院校区","校内食堂","综合食堂","财院校区","","番茄牛腩","2023年校方文章称番茄牛腩酸甜清爽、肉香较足，是校区学生常提及菜品","具体窗口和现价待核验",MULTI_SRC301,"2023-04-28","2026-07-18","待实地核验","高",""
HNU-C005,"湖南大学","南校区","湖大四食堂","湖南大学南校区","校内食堂","综合食堂","南校区","","辣椒炒肉","2023年校方文章称辣度兼顾不同学生，肉片滑嫩、下饭","具体位置与窗口待核验",MULTI_SRC301,"2023-04-28","2026-07-18","待实地核验","高",""
HNU-C006,"湖南大学","南校区","湖大五食堂","湖南大学南校区","校内食堂","综合食堂","南校区","","肉夹馍、小米粥","2023年校方文章称肉夹馍饼皮酥脆、猪肉肥而不腻","具体位置与窗口待核验",MULTI_SRC301,"2023-04-28","2026-07-18","待实地核验","高",""
HNU-C007,"湖南大学","校区待核验","湖大西点","湖南大学校内","校内烘焙","西点房","具体校区待核验","","当日烤制糕点","2023年校方文章称糕点标签提供甜度、蛋白质、乳脂和膳食纤维提示","具体门店位置待核验",MULTI_SRC301,"2023-04-28","2026-07-18","待实地核验","高",""
HNU-S001,"湖南大学","南校区周边","臭名远扬臭豆腐","麓山南路生活圈","校园周边","长沙小吃","麓山南路364号","","臭豆腐","2025年攻略称豆腐外酥里嫩，蘸酱与泡菜萝卜是加分项","近期来源仍需核验门店持续营业情况",MULTI_SRC303,"2025-12-03","2026-07-18","待实地核验","中",""
HNU-S002,"湖南大学","天马园区周边","天马牛肉饼","麓山南路生活圈","校园周边","饼类与糖水","麓山南路228号","","牛肉饼、冰镇水果糖水、麻薯","2025年攻略称早期以牛肉饼出名，后增加多种糖水和麻薯","菜单与现价待核验",MULTI_SRC303,"2025-12-03","2026-07-18","待实地核验","中",""
HNU-S003,"湖南大学","南校区周边","老头子糖油粑粑","麓山南路生活圈","校园周边","长沙小吃","麓山南路158号","","糖油粑粑","2025年攻略将其列为麓山南路代表性糖油粑粑店","缺少具体评价与价格",MULTI_SRC303,"2025-12-03","2026-07-18","待实地核验","中",""
HNU-S004,"湖南大学","南校区周边","乌龙山铁板烧","麓山南路生活圈","校园周边","铁板烧","麓山南路，精确门牌待核验","","掌中宝、鱿鱼、肥肠、土豆","2025年攻略将其归为重口味选择","缺少门牌与价格",MULTI_SRC303,"2025-12-03","2026-07-18","待实地核验","中",""
HNU-S005,"湖南大学","南校区周边","神奇的香酥鸡蛋灌饼","麓山南路生活圈","校园周边","饼类小吃","麓山南路360号","","香酥鸡蛋灌饼","2025年攻略列为麓山南路代表小吃","缺少价格与细化评价",MULTI_SRC303,"2025-12-03","2026-07-18","待实地核验","中",""
HNU-S006,"湖南大学","南校区周边","花道寿司","麓山南路生活圈","校园周边","寿司与拉面","麓山南路，精确门牌待核验","","地狱拉面、凯撒卷、手握、土豆泥","2025年攻略称凯撒卷为招牌，地狱拉面偏辣、较符合湖南口味","同名店可能存在，需按位置核验",MULTI_SRC303,"2025-12-03","2026-07-18","待实地核验","中",""
HNU-S007,"湖南大学","南校区周边","十分满糖水铺","麓山南路生活圈","校园周边","糖水甜品","蚌埠河7天优品酒店后方小巷","","芋泥、紫米、红豆、西米、芋圆等自选糖水","2025年攻略称小料约十余种，并搭配花生与山楂","精确门牌和价格待核验",MULTI_SRC303,"2025-12-03","2026-07-18","待实地核验","中",""
HNU-S008,"湖南大学","南校区周边","鸡柳大人鸡柳·薯条·年糕","麓山南路生活圈","校园周边","炸物小吃","麓山南路722号","","鸡柳、薯条、年糕三合一","2025年攻略称年糕外酥内软糯，适合搭配调料粉","营业状态与现价待核验",MULTI_SRC303,"2025-12-03","2026-07-18","待实地核验","中",""
HNU-S009,"湖南大学","天马园区周边","本家紫菜包饭","麓山南路生活圈","校园周边","韩式小吃","麓山南路236号","","紫菜包饭","2025年攻略列为麓山南路小吃点","缺少详细评价与价格",MULTI_SRC303,"2025-12-03","2026-07-18","待实地核验","中",""
HNU-S010,"湖南大学","南校区周边","仙峰面包","麓山南路生活圈","校园周边","面包烘焙","麓山南路，精确门牌待核验","","贝果、碱水面包","2025年攻略称环境适合拍照，口味强调少油少盐少糖","同名门店与具体位置需核验",MULTI_SRC303,"2025-12-03","2026-07-18","待实地核验","中",""
HUNNU-C001,"湖南师范大学","二里半校区","江边食堂","潇湘中路片区","校内食堂","综合食堂","二里半校区潇湘中路122号附近","","鱼粉、煲仔饭、自助餐、石锅拌饭","校方招生页称环境和品类丰富；2022年报道评价石锅拌饭配料丰富、锅巴焦脆","地址按报道记录，具体入口待核验",MULTI_SRC401|MULTI_SRC403,"2019-06-13|2022-11-07","2026-07-18","待实地核验","高",""
HUNNU-C002,"湖南师范大学","二里半校区","木兰路老食堂（兰桂苑）","木兰路片区","校内食堂","综合食堂","木兰路，近至善楼、中和楼及外国语学院","","米线、卤粉、挂面、自助餐、大碗肉夹馍、牛肉刀削面","校方招生页称一楼以面食为主、二楼有二十多种自助菜；2022年报道补充热卤等","楼层档口可能调整",MULTI_SRC401|MULTI_SRC403,"2019-06-13|2022-11-07","2026-07-18","待实地核验","高",""
HUNNU-C003,"湖南师范大学","二里半校区","木兰路新食堂（佳园食堂）","木兰路片区","校内食堂","综合食堂","与木兰路老食堂相邻","","北京烤鸭饭、黄焖鸡米饭、菠萝饭、津市米粉、麻辣香锅","校方招生页称品种多、环境整洁；2022年报道提到三楼西餐厅","不同来源的命名层级需现场核验",MULTI_SRC401|MULTI_SRC403,"2019-06-13|2022-11-07","2026-07-18","待实地核验","高",""
HUNNU-C004,"湖南师范大学","天马园区","天马食堂","天马学生公寓","校内食堂","综合食堂","天马学生公寓旁、旅一车站后方","","自助炒菜、自选焖菜、粉面粥、烤鸭饭","2021年校园号详述自助菜与粉面口感；2022年报道评价分量足、性价比较高","菜单与窗口为历史信息",MULTI_SRC401|MULTI_SRC402|MULTI_SRC403,"2019-06-13|2021-05-20|2022-11-07","2026-07-18","待实地核验","高","MULTI_IMG020|MULTI_IMG021|MULTI_IMG022|MULTI_IMG023|MULTI_IMG024"
HUNNU-C005,"湖南师范大学","南院校区","南院食堂","湖南师大南院","校内食堂","综合食堂","南院二栋宿舍正对面、麓山南路105号","","火锅小炒、麻辣烫、烤鸭、锅包肉","校方招生页称菜品丰富并有点歌服务；2022年报道强调菜系包容性","点歌服务和菜单可能已变化",MULTI_SRC401|MULTI_SRC403,"2019-06-13|2022-11-07","2026-07-18","待实地核验","高",""
HUNNU-C006,"湖南师范大学","医学院校区","医学院一食堂","湖南师大医学院","校内食堂","综合食堂","医学院内","","麻辣烫、粉面、茶饮、盖码饭","校方招生页称窗口类型齐全","具体楼层与当前窗口待核验",MULTI_SRC401,"2019-06-13","2026-07-18","待实地核验","高",""
HUNNU-C007,"湖南师范大学","医学院校区","医学院二食堂（露天食堂）","湖南师大医学院","校内食堂","露天食堂","医学院内","","大众餐饮","校方招生页称二食堂是医学院较有名的露天食堂","露天区域与运营形式待核验",MULTI_SRC401,"2019-06-13","2026-07-18","待实地核验","高",""
HUNNU-C008,"湖南师范大学","咸嘉湖校区","咸嘉湖食堂","咸嘉湖教学实验综合大楼片区","校内食堂","综合食堂","咸嘉湖校区操场对面","","红油抄手、螺蛳粉、各色小吃","2022年报道称改造后设置小吃区，负一楼偏鲜香麻辣口味","楼层和档口待核验",MULTI_SRC403,"2022-11-07","2026-07-18","待实地核验","高",""
HUNNU-S001,"湖南师范大学","二里半校区周边","淮南牛肉汤","油烟街/桃子湖片区","校园周边","汤粉面","桃子湖路师大附中校门口油烟街45号","10","牛肉汤、牛杂面、羊肉面","2019年两篇攻略均称汤头鲜美、分量足，并可搭配萝卜小菜","价格为2019年信息",MULTI_SRC404|MULTI_SRC405,"2019-09-05|2019-06-12","2026-07-18","待实地核验","中",""
HUNNU-S002,"湖南师范大学","二里半校区周边","思恬豆花","油烟街/桃子湖片区","校园周边","甜品","油烟街或桃子湖文创园片区","","仙草芋圆、红豆芋圆双皮奶","2019年攻略称店铺小但品类齐全，仙草丝滑、芋圆有嚼劲","缺少精确门牌与价格",MULTI_SRC404,"2019-09-05","2026-07-18","待实地核验","中",""
HUNNU-S003,"湖南师范大学","天马园区周边","油炸猪八戒","天马学生公寓生活圈","校园周边","粉面与炸串","天马学生公寓周边","","猪油拌粉、炸串、饮品","2019年攻略称猪油拌粉入味但不显油腻","缺少门牌与价格",MULTI_SRC404,"2019-09-05","2026-07-18","待实地核验","中",""
HUNNU-S004,"湖南师范大学","天马园区周边","螺鼎记林大螺蛳粉","天马学生公寓生活圈","校园周边","螺蛳粉","天马学生公寓周边","","螺蛳粉、腐竹、酸笋、鸡爪","2019年攻略称经常排队，粉有劲道、配料较足","名称含“林大”但来源明确将其列于天马片区；需现场核验分店",MULTI_SRC404,"2019-09-05","2026-07-18","待实地核验","中",""
HUNNU-S005,"湖南师范大学","天马园区周边","台湾大伯卤肉饭","天马学生公寓生活圈","校园周边","卤肉饭","天马学生公寓周边","","卤肉饭、卤蛋、腌黄瓜","2019年攻略称卤汁入味，小菜清脆爽口","缺少门牌与价格",MULTI_SRC404,"2019-09-05","2026-07-18","待实地核验","中",""
HUNNU-S006,"湖南师范大学","天马园区周边","聚餐小家庭","天马学生公寓生活圈","校园周边","湘菜","天马学生公寓周边","","辣椒炒肉、小鲜肉捞粉丝、擂辣椒皮蛋","2019年攻略称适合朋友聚餐并有包厢，经典湘菜口味较好","缺少门牌与价格",MULTI_SRC404,"2019-09-05","2026-07-18","待实地核验","中",""
HUNNU-S007,"湖南师范大学","天马园区周边","一帆家菜馆","天马学生公寓生活圈","校园周边","家常湘菜","天马学生公寓周边","","臭鳜鱼、板栗烧鸡、平锅基围虾","2019年攻略称价格亲民，臭鳜鱼和多款家常菜较受欢迎","缺少门牌与历史人均",MULTI_SRC404,"2019-09-05","2026-07-18","待实地核验","中",""
HUNNU-S008,"湖南师范大学","左家垅片区","袁吉虎田园烤鸡","左家垅","校园周边","烤鸡","左家垅生活圈","","田园烤鸡","2019年攻略称价格较亲民，烤鸡皮酥肉嫩","缺少门牌与价格",MULTI_SRC404,"2019-09-05","2026-07-18","待实地核验","中",""
HUNNU-S009,"湖南师范大学","南院校区周边","老孙家肉夹馍","南院食堂对面巷子","校园周边","肉夹馍","岳麓区大学城湖南师大南院食堂对面","7","多口味肉夹馍","2019年报道记录常有学生排队，馍经改良后较酥脆、馅料足且实惠","摊位通常下午出摊，具体位置和时间待核验",MULTI_SRC405,"2019-06-12","2026-07-18","待实地核验","中",""
HUNNU-S010,"湖南师范大学","美术学院周边","四合院饭庄","师大美院旁巷子","校园周边","粉面","湖师大美院旁巷子内","6","肉丝粉、粉面与配菜","2019年报道称经营时间较长、价格便宜，师生对粉面和配菜评价较好","位置较隐蔽，历史价格待核验",MULTI_SRC405,"2019-06-12","2026-07-18","待实地核验","中",""
HUNNU-S011,"湖南师范大学","二里半校区周边","湾仔渔蛋","桃子湖/张家坪片区","校园周边","中式快餐","桃子湖路近湖南师大张家坪68号","13","中式快餐","2019年报道称菜品丰富，有受访学生将其视作常去的校外食堂","店名与实际主营不完全一致，需现场核验",MULTI_SRC405,"2019-06-12","2026-07-18","待实地核验","中",""
